"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FOXP2",-2.06093619203175,0.652061129975085,-10.2778652517598,3.59978314805174e-20,1.34581132126884e-18,35.0424541012322
"HOXB13",2.05547882310168,1.77010145245801,7.24750896529059,9.01567907203357e-12,9.63281807956249e-11,15.9537294650521
"C7",-2.04174564159496,1.63090728552093,-8.35763451484427,1.06418258225455e-14,1.82040264983119e-13,22.5910351764699
"NPAS4",-2.04079425655796,0.41552702311168,-13.0664413021318,1.27549829470995e-28,1.31808031470257e-26,54.3342072187954
"CCBE1",-2.04023493410851,1.10627380344213,-9.06012341849629,1.19110881302201e-16,2.77801315870446e-15,27.0260045971513
"ADRA1D",-2.02494617916157,0.803898622855913,-10.6336873868403,3.17611408262236e-21,1.3617420187005e-19,37.4468010785813
"PLK5P",-2.0199261790989,0.385031362199069,-11.8181386116531,8.55421183385296e-25,5.8631266212235e-23,45.5936596148078
"PDZRN4",-2.01856836398213,0.748921036866914,-10.8443593685004,7.46753339434958e-22,3.54901569409289e-20,38.8809839179073
"CAMK2A",-2.01494795414324,0.945374774563821,-11.8270064544566,8.03856322514973e-25,5.54743450513672e-23,45.6553143484914
"CPEB1",-1.99620546707291,0.735074964676188,-9.98481469426226,2.61070939094661e-19,8.88655488800086e-18,33.0811199570864
"PLP1",-1.99479900964608,0.620948561393446,-10.0309442003841,1.91344572152348e-19,6.62505923271817e-18,33.3886444791049
"PGM5P2",-1.99185929351794,0.642714366804395,-12.4196709492308,1.24125287680074e-26,1.07349728413785e-24,49.7920481450534
"PAGE4",-1.9772006748694,1.01262927724929,-7.71974494945922,5.43619064257303e-13,7.01310356200314e-12,18.7153637613084
"C20orf200",-1.97044473546433,0.605652920982717,-10.3751533223134,1.8577407881709e-20,7.17164380520267e-19,35.6974674725732
"PTGFR",-1.96592706411892,1.34490902273438,-9.06263912349382,1.17178424862534e-16,2.74065549992767e-15,27.0421657320931
"GPM6A",-1.96559425736806,1.27718445754421,-8.09619226503103,5.43319764394027e-14,8.22649030975545e-13,20.9836973611582
"DGKB",-1.95644024506576,0.816949327716349,-9.26217488500567,3.18394731798038e-17,8.09075944572795e-16,28.3298253747357
"KCTD8",-1.9555487387332,0.476184175271273,-11.3722096709151,1.92899622329156e-23,1.10744167793585e-21,42.5044434113703
"CD300LG",-1.95529788354302,0.420095676162074,-12.2273704443483,4.81845941984102e-26,3.93104355340957e-24,48.4466011953786
"KLF17",-1.94780924742423,0.245227576544527,-14.4649148995185,6.16333821581835e-33,8.68513485223466e-31,64.197394420339
"SCARA5",-1.9324762578959,0.557068807469944,-9.74832560975617,1.27466984597829e-18,3.97614118673508e-17,31.5121039851024
"LCN6",-1.93102270120287,0.37197986663558,-12.4014746924287,1.41138862704014e-26,1.20003764656059e-24,49.664620143253
"MEOX2",-1.93089251046967,0.858577943191959,-8.60921099347225,2.16808495953311e-15,4.11384934270732e-14,24.160709247232
"ADRB3",-1.92566464157883,0.185508471809791,-13.2000543773578,4.94242939143187e-29,5.29760078014594e-27,55.2750114509016
"MYOZ2",-1.92395939388759,0.169718768306094,-15.399853298539,8.10879865188164e-36,1.3847491663904e-33,70.7821051399458
"PRLHR",-1.92184786880097,0.359948084814866,-13.1575488296434,6.68271896705389e-29,7.12505131773032e-27,54.9756489818538
